scene_name,quest_category,choice_sections,normal_sections,total_sections,total_lines,file_path
q105_06c_finding_studio,main_quests/part1/q105,8,41,49,100,D:\AppSoft\Sy2077\2077\2077\CDPR2077\r6\depot\base\quest\main_quests\part1\q105\scenes\q105_06c_finding_studio.scnlocjson
q105_06d_fixer_holocall,main_quests/part1/q105,4,16,20,60,D:\AppSoft\Sy2077\2077\2077\CDPR2077\r6\depot\base\quest\main_quests\part1\q105\scenes\q105_06d_fixer_holocall.scnlocjson
q105_07_blackmarket_braindance,main_quests/part1/q105,15,22,37,49,D:\AppSoft\Sy2077\2077\2077\CDPR2077\r6\depot\base\quest\main_quests\part1\q105\scenes\q105_07_blackmarket_braindance.scnlocjson
q105_07_judy_braindance,main_quests/part1/q105,4,54,58,97,D:\AppSoft\Sy2077\2077\2077\CDPR2077\r6\depot\base\quest\main_quests\part1\q105\scenes\q105_07_judy_braindance.scnlocjson
q105_08a_braindance_investigation,main_quests/part1/q105,10,17,27,35,D:\AppSoft\Sy2077\2077\2077\CDPR2077\r6\depot\base\quest\main_quests\part1\q105\scenes\q105_08a_braindance_investigation.scnlocjson
q105_08d_braindance_gameplay,main_quests/part1/q105,0,30,30,97,D:\AppSoft\Sy2077\2077\2077\CDPR2077\r6\depot\base\quest\main_quests\part1\q105\scenes\q105_08d_braindance_gameplay.scnlocjson
q105_09_braindance_evelyn,main_quests/part1/q105,6,32,38,52,D:\AppSoft\Sy2077\2077\2077\CDPR2077\r6\depot\base\quest\main_quests\part1\q105\scenes\q105_09_braindance_evelyn.scnlocjson
q105_10_transition,main_quests/part1/q105,0,0,0,0,D:\AppSoft\Sy2077\2077\2077\CDPR2077\r6\depot\base\quest\main_quests\part1\q105\scenes\q105_10_transition.scnlocjson
q105_11_judys_evelyn,main_quests/part1/q105,17,68,85,186,D:\AppSoft\Sy2077\2077\2077\CDPR2077\r6\depot\base\quest\main_quests\part1\q105\scenes\q105_11_judys_evelyn.scnlocjson
q105_12a_braindance_voodooqueen,main_quests/part1/q105,3,9,12,37,D:\AppSoft\Sy2077\2077\2077\CDPR2077\r6\depot\base\quest\main_quests\part1\q105\scenes\q105_12a_braindance_voodooqueen.scnlocjson
q105_12b_braindance_alt,main_quests/part1/q105,3,7,10,27,D:\AppSoft\Sy2077\2077\2077\CDPR2077\r6\depot\base\quest\main_quests\part1\q105\scenes\q105_12b_braindance_alt.scnlocjson
q108_00_chicken_test,main_quests/part1/q108,6,0,6,24,D:\AppSoft\Sy2077\2077\2077\CDPR2077\r6\depot\base\quest\main_quests\part1\q108\scenes\q108_00_chicken_test.scnlocjson
q108_02_backstage,main_quests/part1/q108,4,26,30,38,D:\AppSoft\Sy2077\2077\2077\CDPR2077\r6\depot\base\quest\main_quests\part1\q108\scenes\q108_02_backstage.scnlocjson
q108_04_exit,main_quests/part1/q108,8,32,40,63,D:\AppSoft\Sy2077\2077\2077\CDPR2077\r6\depot\base\quest\main_quests\part1\q108\scenes\q108_04_exit.scnlocjson
q108_05_backalley,main_quests/part1/q108,6,46,52,80,D:\AppSoft\Sy2077\2077\2077\CDPR2077\r6\depot\base\quest\main_quests\part1\q108\scenes\q108_05_backalley.scnlocjson
q108_09_taken,main_quests/part1/q108,0,10,10,9,D:\AppSoft\Sy2077\2077\2077\CDPR2077\r6\depot\base\quest\main_quests\part1\q108\scenes\q108_09_taken.scnlocjson
